,sub,r2_actual_vs_model,r2_actual_vs_avg,r2_model_increase_from_avg,pmc_actual_vs_model,pmc_actual_vs_avg
108,2014.0,-0.07335069444444442,-0.07335069444444442,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
109,2016.0,-0.7241808293902603,-11.94771634615384,11.22353551676358,"PearsonRResult(statistic=-0.07914085801912508, pvalue=0.7792017775767747)","PearsonRResult(statistic=nan, pvalue=nan)"
110,2017.0,-2.6693183407971017,-3.45845734126984,0.7891390004727383,"PearsonRResult(statistic=-0.2864626357109934, pvalue=0.3666892746325576)","PearsonRResult(statistic=nan, pvalue=nan)"
111,2018.0,-7.447167597231314,-5.198833449877831,-2.248334147353483,"PearsonRResult(statistic=0.19192083875330496, pvalue=0.5718460998629298)","PearsonRResult(statistic=nan, pvalue=nan)"
112,2020.0,-0.01712247324613525,-0.01712247324613525,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
113,2021.0,-3.4162009512485136,-3.4162009512485136,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
114,2023.0,-0.06726563972343413,-0.1295147136699315,0.06224907394649737,"PearsonRResult(statistic=0.24519828939435462, pvalue=0.4674024810235157)","PearsonRResult(statistic=nan, pvalue=nan)"
115,2025.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
116,2026.0,-2.9508420792123893,-5.670340487616235,2.7194984084038456,"PearsonRResult(statistic=-0.1549541610173995, pvalue=0.6690599438969511)","PearsonRResult(statistic=nan, pvalue=nan)"
117,2027.0,-0.10145871690079034,-0.018789144050104456,-0.08266957285068588,"PearsonRResult(statistic=-0.08161187672574688, pvalue=0.7638201557106947)","PearsonRResult(statistic=nan, pvalue=nan)"
118,2031.0,-0.43483302411873814,-0.43483302411873814,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
119,2032.0,-1.3813886914212117,-2.3864337372029674,1.0050450457817557,"PearsonRResult(statistic=0.23426558458133218, pvalue=0.38250229241813843)","PearsonRResult(statistic=nan, pvalue=nan)"
120,2033.0,-0.2934519474561976,-1.0642954359122072,0.7708434884560096,"PearsonRResult(statistic=0.0879942694445273, pvalue=0.7551623293694489)","PearsonRResult(statistic=nan, pvalue=nan)"
121,2037.0,-2.3380919626772014,-6.91942513154634,4.581333168869139,"PearsonRResult(statistic=-0.39983982334119683, pvalue=0.1249155167486071)","PearsonRResult(statistic=nan, pvalue=nan)"
122,2039.0,-0.4869222038416041,-0.47876370083816866,-0.008158503003435458,"PearsonRResult(statistic=0.13795978803179976, pvalue=0.6103857413217696)","PearsonRResult(statistic=nan, pvalue=nan)"
123,2040.0,-0.12494586103301875,-0.15808387345678976,0.03313801242377101,"PearsonRResult(statistic=0.07420552417662762, pvalue=0.8009547255506265)","PearsonRResult(statistic=nan, pvalue=nan)"
124,2041.0,-0.1244940411618709,-0.10051169590643272,-0.023982345255438187,"PearsonRResult(statistic=-0.29386372165671965, pvalue=0.40986786698969147)","PearsonRResult(statistic=nan, pvalue=nan)"
125,2043.0,-0.8769820462616496,-3.239907727797002,2.3629256815353523,"PearsonRResult(statistic=0.046350219802322214, pvalue=0.8646547080828926)","PearsonRResult(statistic=nan, pvalue=nan)"
126,2044.0,-0.2463782081312944,-0.5437200285685133,0.2973418204372189,"PearsonRResult(statistic=-0.10611093787079634, pvalue=0.6957076921153413)","PearsonRResult(statistic=nan, pvalue=nan)"
127,2045.0,-0.06345406990361302,-0.08652963198417729,0.02307556208056427,"PearsonRResult(statistic=0.05817756321736775, pvalue=0.8305365537123073)","PearsonRResult(statistic=nan, pvalue=nan)"
128,2048.0,0.22946135028153303,-0.00020923897293156912,0.2296705892544646,"PearsonRResult(statistic=0.4824557209002358, pvalue=0.08059706160445843)","PearsonRResult(statistic=nan, pvalue=nan)"
129,2054.0,-0.2590685883214401,-0.7573535265591436,0.4982849382377035,"PearsonRResult(statistic=0.4578886071020474, pvalue=0.07450156792500265)","PearsonRResult(statistic=nan, pvalue=nan)"
130,2059.0,0.18862326276440555,-0.2199391171993912,0.40856237996379674,"PearsonRResult(statistic=0.517012986690005, pvalue=0.07041057675577514)","PearsonRResult(statistic=nan, pvalue=nan)"
131,2062.0,-9.008927336836283,-9.008927336836283,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
132,2063.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
133,2065.0,0.02549024625107743,-0.16408496382046178,0.1895752100715392,"PearsonRResult(statistic=0.26238068625838684, pvalue=0.3447945931314747)","PearsonRResult(statistic=nan, pvalue=nan)"
134,2068.0,0.0510354898968195,-0.000846513700156093,0.05188200359697559,"PearsonRResult(statistic=0.45120080210470925, pvalue=0.0793934505584753)","PearsonRResult(statistic=nan, pvalue=nan)"
135,2069.0,0.0,0.0,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
136,2070.0,-0.00570583262890989,-0.00570583262890989,0.0,"PearsonRResult(statistic=nan, pvalue=nan)","PearsonRResult(statistic=nan, pvalue=nan)"
